Order_ID,Units_Sold,Discount_Applied,Product_Name,Region,Gender_Category,Product_Line,MRP,Cost,Order_Date,Sales_Channel,Revenue,Profit,Size_Label
PUM515253,34,10.1,Puma Stewie 2 Team W,Jaipur,Women,Basketball,7790,3780,,Online,238109.14,109589.14,L
PUM798914,9,26.8,Puma Future Ultimate FG W,Delhi,Women,Lifestyle,8100,3060,,Online,53362.8,25822.8,L
PUM616205,26,38.5,Puma Ella W,Pune,Women,Basketball,7590,0,,In-Store,121364.1,121364.1,L
PUM604316,0,3.8,Puma Suede Classic XXI,Hyderabad,Men,Running,10970,4930,,Online,0,0,L
PUM944566,19,12,Puma King Match Jr FG,Hyderabad,Kids,Lifestyle,9440,5600,,In-Store,157836.8,51436.8,L
PUM444622,36,11.9,Puma Softride Rift Jr,Lucknow,Kids,Soccer,7220,4100,,In-Store,228989.52,81389.52,L
PUM127604,7,20.5,Puma Velocity Nitro 3,Banglore,Men,Lifestyle,11600,5390,,Online,64554,26824,L
PUM652048,35,49.9,Puma Stewie 2 Team W,Jaipur,Women,Training,0,3340,,Online,0,-116900,L
PUM618951,14,14.8,Puma All-Pro Nitro W,Mumbai,Women,Training,12080,7250,,In-Store,144090.24,42590.24,L
PUM277477,4,47.6,Puma Stewie 2 Team W,Delhi,Women,Lifestyle,7460,4110,,Online,15636.16,-803.84,L
PUM992334,30,50,Puma Magnify Nitro 2 W,Banglore,Women,Lifestyle,13270,4930,,Online,199050,51150,L
PUM784954,19,40.7,Puma Softride Rift Jr,Chennai,Kids,Lifestyle,17960,10610,,In-Store,202355.32,765.32,L
PUM764488,41,6.9,Puma King Platinum 21,Unknown,Men,Soccer,6500,3040,,Online,248111.5,123471.5,L
PUM439078,42,18.8,Puma Deviate Elite 3,Mumbai,Men,Lifestyle,12320,5590,,Online,420161.28,185381.28,L
PUM340826,49,27.6,Puma Suede Jr,Ahmedabad,Kids,Lifestyle,5560,2230,,Online,197246.56,87976.56,L
PUM780301,39,49.6,Puma Future 7 Play FG Jr,Lucknow,Kids,Soccer,14830,0,,Online,291498.48,291498.48,L
PUM396609,25,28,Puma Future Ultimate FG W,Chennai,Women,Basketball,0,4010,,In-Store,0,-100250,L
PUM241888,35,8.3,Puma Mayze Stack,Pune,Women,Soccer,9400,3870,,Online,301693,166243,L
PUM178702,35,5.1,Puma King Pro FG W,Lucknow,Women,Running,4580,2230,,In-Store,152124.7,74074.7,L
PUM961760,30,49.6,Puma Smash v2 Jr,Unknown,Kids,Training,0,1210,,Online,0,-36300,L
PUM650858,25,40.3,Puma Future Ultimate FG,Delhi,Men,Basketball,10630,4190,,Online,158652.75,53902.75,L
PUM477819,27,14.9,Puma Retaliate 2,Banglore,Men,Soccer,11090,5470,,In-Store,254814.93,107124.93,L
PUM875626,50,10.6,Puma Magnify Nitro 2 W,Hyderabad,Women,Running,4890,2500,,In-Store,218583,93583,L
PUM925061,46,24,Puma Softride Rift Jr,Mumbai,Kids,Running,4120,2380,,In-Store,144035.2,34555.2,L
PUM123960,12,36.4,Puma Ella W,Mumbai,Women,Lifestyle,16690,9440,,Online,127378.08,14098.08,L
PUM287170,32,2.5,Puma Smash v2,Kolkata,Men,Basketball,3440,1410,,Online,107328,62208,L
PUM511223,40,5.7,Puma Playmaker Pro Jr,Chennai,Kids,Soccer,4560,2030,,In-Store,172003.2,90803.2,L
PUM214643,50,43.2,Puma Smash v2,Hyderabad,Men,Soccer,3560,1840,,In-Store,101104,9104,L
PUM529954,5,28.9,Puma King Pro FG W,Ahmedabad,Women,Lifestyle,14610,6110,,Online,51938.55,21388.55,L
