Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Cost,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
PUM322839,Kids,Running,Puma Pacer Future Jr,5,8,6760,3450,21.7,42344.64,45282,Retail,Pune,14744.64
PUM338387,Women,Run,Puma Suede Mayu W,11,50,13980,6600,18.1,572481,45213,Online,MUMBAI,242481
PUM515253,Women,Basketball,Puma Stewie 2 Team W,8,34,7790,3780,10.1,238109.14,,Online,Jaipure,109589.14
PUM903075,Women,LIFESTYLE,Puma Cali Dream,12,4,13820,5080,33.4,36816.48,44752,Retail,hyderabad,16496.48
PUM798914,Women,Lifestyle,Puma Future Ultimate FG W,12,-9,8100,3060,26.8,,,Online,Dehli,
PUM187963,Men,Training,Puma Scoot Zeros,11,49,4580,1850,2.9,217911.82,44940,Online,CHENNAI,127261.82
PUM194371,Women,Run,Puma Deviate Elite 3 W,8,-1,16870,6140,42.6,,45521,Retail,Kolkatta,
PUM501020,Kids,Basketball,Puma Smash v2 Jr,10.5,17,14030,6300,15,202733.5,44794,Online,Chennai,95633.5
PUM813510,Kids,Lifestyle,Puma Playmaker Pro Jr,13,35,14180,7280,,,45388,Online,Kolkatta,
PUM499210,Women,Running,Puma Retaliate 2 W,4,41,12580,7260,-1.8,525064.04,45421,Online,hyderabad,227404.04
PUM898986,Kids,Training,Puma Suede Jr,6,38,10020,0,46.7,202945.08,31-07-2022,Retail,Chennai,
PUM261650,Men,Training,Puma Smash v2,13,12,3170,1370,40.1,22785.96,45389,Online,Ahmedabad,6345.96
PUM539399,Men,Lifestyle,Puma Stewie 2,5,22,3490,1530,34,50674.8,45012,Retail,MUMBAI,17014.8
PUM855274,Kids,Running,Puma Rise Jr,7,-4,,2920,37.1,,25-01-2023,Online,,
PUM965125,Men,Running,Puma Fuse 2.0,10,45,5780,3380,45.1,142794.9,45241,Online,lucknow,-9305.1
PUM328581,Men,Basketball,Puma Softride Premier,9,48,3590,1820,40.9,101841.12,44698,Online,Bengaluru,14481.12
PUM616205,Women,Basketball,Puma Ella W,9,26,7590,,38.5,,25/03/2022,Retail,Pune,
PUM584598,Kids,Basketball,Puma King Match Jr FG,6,21,16480,8730,41.5,202456.8,45389,Online,pune,19126.8
