Retailer,Retailer_ID,Invoice_Date,Sales_Quater,State,City,Product,Price_per_Unit,Units_Sold,Sales_Method,Total_Sales,Operating_Cost,Operating_Profit,Operating_Margin
Myntra,1042,01-01-2024,Q1,Karnataka,Bangalore,Sneakers,9988.43,7,Store,69919.01,62534.53,7384.48,11.00%
Ajio,1031,01-01-2024,Q2,Tamil Nadu,Chennai,Jacket,5468.55,1,Online,5468.55,5162.5,306.05,6.00%
Amazon,1049,01-01-2024,Q4,Kerala,Kochi,Jacket,4630.58,8,Online,37044.64,32838.42,4206.22,11.00%
Flipkart,1036,01-01-2024,Q2,Karnataka,Bangalore,Shorts,2070.12,3,Store,6210.36,5685.7,524.66,8.00%
Myntra,1001,01-01-2024,Q3,Kerala,Kochi,Jacket,6783.8,6,Store,40702.8,32986.35,7716.45,19.00%
Amazon,1044,01-01-2024,Q2,Kerala,Kochi,Running Shoes,11801.38,2,Store,23602.76,17341.59,6261.17,27.00%
Amazon,1010,01-01-2024,Q2,Maharashtra,Mumbai,T Shirt,2228.02,5,Online,11140.1,10023.17,1116.93,10.00%
Flipkart,1023,01-01-2024,Q2,Tamil Nadu,Chennai,Jacket,11012.93,6,Online,66077.58,59126.1,6951.48,11.00%
Ajio,1007,01-01-2024,Q4,Kerala,Kochi,Sneakers,2067.6,6,Online,12405.6,9573.15,2832.45,23.00%
Ajio,1012,01-01-2024,Q4,Karnataka,Bangalore,Shorts,11594.22,2,Online,23188.44,18514.66,4673.78,20.00%
Flipkart,1033,01-01-2024,Q2,Kerala,Kochi,Sneakers,3680.82,9,Online,33127.38,26973.67,6153.71,19.00%
Nike Store,1023,01-01-2024,Q1,Maharashtra,Mumbai,Running Shoes,8191.97,7,Store,57343.79,42856.03,14487.76,25.00%
Nike Store,1001,01-01-2024,Q2,Karnataka,Bangalore,T Shirt,11897.95,5,Store,59489.75,56195.31,3294.44,6.00%
Ajio,1040,01-01-2024,Q4,Maharashtra,Mumbai,Shorts,3760.89,1,Store,3760.89,2713.67,1047.22,28.00%
Myntra,1035,01-01-2024,Q2,Maharashtra,Mumbai,Jacket,5526.01,2,Store,11052.02,8442.7,2609.32,24.00%
Ajio,1014,01-01-2024,Q4,Kerala,Kochi,Sneakers,9560.5,8,Online,76484,68666.58,7817.42,10.00%
